Iteration: #1, Cost: 21297.91, Gradient Magnitude: 250.98
Iteration: #2, Cost: 20781.48, Gradient Magnitude: 237.86
Iteration: #3, Cost: 20796.46, Gradient Magnitude: 239.43
Iteration: #4, Cost: 20715.69, Gradient Magnitude: 237.97
Iteration: #5, Cost: 20632.38, Gradient Magnitude: 236.60
Iteration: #6, Cost: 20541.47, Gradient Magnitude: 235.18
Iteration: #7, Cost: 20446.01, Gradient Magnitude: 233.76
Iteration: #8, Cost: 20346.67, Gradient Magnitude: 232.34
Iteration: #9, Cost: 20244.11, Gradient Magnitude: 230.91
Iteration: #10, Cost: 20138.89, Gradient Magnitude: 229.47
Iteration: #11, Cost: 20031.57, Gradient Magnitude: 228.02
Iteration: #12, Cost: 19922.67, Gradient Magnitude: 226.55
Iteration: #13, Cost: 19812.65, Gradient Magnitude: 225.08
Iteration: #14, Cost: 19701.92, Gradient Magnitude: 223.60
Iteration: #15, Cost: 19590.84, Gradient Magnitude: 222.13
Iteration: #16, Cost: 19479.70, Gradient Magnitude: 220.66
Iteration: #17, Cost: 19368.73, Gradient Magnitude: 219.20
Iteration: #18, Cost: 19258.16, Gradient Magnitude: 217.75
Iteration: #19, Cost: 19148.12, Gradient Magnitude: 216.31
Iteration: #20, Cost: 19038.76, Gradient Magnitude: 214.89
Iteration: #21, Cost: 18930.16, Gradient Magnitude: 213.48
Iteration: #22, Cost: 18822.42, Gradient Magnitude: 212.10
Iteration: #23, Cost: 18715.58, Gradient Magnitude: 210.73
Iteration: #24, Cost: 18609.69, Gradient Magnitude: 209.38
Iteration: #25, Cost: 18504.79, Gradient Magnitude: 208.04
Iteration: #26, Cost: 18400.89, Gradient Magnitude: 206.73
Iteration: #27, Cost: 18298.00, Gradient Magnitude: 205.44
Iteration: #28, Cost: 18196.14, Gradient Magnitude: 204.17
Iteration: #29, Cost: 18095.31, Gradient Magnitude: 202.92
Iteration: #30, Cost: 17995.49, Gradient Magnitude: 201.69
Iteration: #31, Cost: 17896.70, Gradient Magnitude: 200.48
Iteration: #32, Cost: 17798.91, Gradient Magnitude: 199.29
Iteration: #33, Cost: 17702.12, Gradient Magnitude: 198.12
Iteration: #34, Cost: 17606.32, Gradient Magnitude: 196.97
Iteration: #35, Cost: 17511.49, Gradient Magnitude: 195.83
Iteration: #36, Cost: 17417.62, Gradient Magnitude: 194.72
Iteration: #37, Cost: 17324.70, Gradient Magnitude: 193.62
Iteration: #38, Cost: 17232.71, Gradient Magnitude: 192.54
